date,station_name,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,wind_speed,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,total_cyano_genes,mcye_genes,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
4/25/2022,WE2,5.47,0.75,Surface,13:22,41.7621,-83.3301,5.05,raining,0.5,10.4,315.7,9.3,9.8,10.29,248.1,16.2,<0.1,0.25,0.53,8.13,,,58.89,29.02,13.74,38.69,0.878,0.99,0.14,1.88,16.66,2.32
4/25/2022,WE2,,4.7,Bottom,,,,,,,9.9,312.4,7.1,17,8.38,0.2,,<0.1,0.11,0.17,5.25,,,,,,,,,,,,
4/25/2022,WE4,8.35,0.75,Surface,9:32,41.8266,-83.1951,5.05,overcast,2,8.2,251.5,1.7,65.4,11.11,188.5,2.98,<0.1,<0.1,0.11,2.4,,,17.64,10.16,2.45,44.5,0.386,0.39,0.03,0.27,3.78,0.7
4/25/2022,WE6,2.75,0.75,Surface,12:25,41.705,-83.3855,2.92,raining,0.5,14,568.4,9.2,10.1,9.7,186,14.6,<0.1,0.2,10.15,56.55,,,76.84,21.27,2.07,10.73,1.948,2.63,0.43,2.3,17.96,4.84
4/25/2022,WE8,4.91,0.75,Surface,8:33,41.8344,-83.3593,9.91,overcast,1.25,10.4,355.5,2.5,54.2,10.08,36.6,5.72,<0.1,0.13,0.24,2.77,,,34.05,21.03,8.55,37.73,0.649,0.81,0.03,0.68,5.44,1.04
4/25/2022,WE8,,4.2,Bottom,,,,,,,10.4,354.6,2.1,59.1,7.26,1.8,,<0.1,0.15,0.1,2.63,,,,,,,,,,,,
4/25/2022,WE9,2.55,0.75,Surface,12:51,,,6.03,,0.5,12.6,517.1,9.5,9.2,9.81,149.4,16.5,<0.1,<0.1,3.67,45.34,,,72.04,17.78,4.7,9.78,1.7,2.24,0.33,1.94,19.16,4.36
4/25/2022,WE12,6.5,0.75,Surface,11:39,41.7028,-83.2544,4.08,overcast,,10.1,337.5,6.8,18.5,10.37,250.2,12,<0.1,0.17,0.38,14.33,,,42.62,18.05,7.87,24.72,0.729,0.86,0.12,0.86,12.52,1.94
4/25/2022,WE12,,6,Bottom,,,,,,,9.6,317.3,8.5,11.9,7.56,0.1,,<0.1,0.25,0.24,4.88,,,,,,,,,,,,
4/25/2022,WE13,8.82,0.75,Surface,10:19,41.7441,-83.1369,2.92,overcast,2.5,8.8,279.9,1.4,70.6,10.78,168.6,2.37,<0.1,0.21,0.12,4.25,,,18.56,8.23,3.11,44.63,0.393,0.38,0.03,0.33,3.24,0.72
