date,sample_id,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
5/25/2021,T1-1-S,5.89,1,S,10:08,41.9978,-83.1416,,2,16.9,226.8,1.8,63.8,10.21,1659.5,2.04,<0.1,<0.1,2.61,14.72,5.27,1.69,39.18,0.275,0.32,0.05,,4.48,1.44
5/25/2021,T1-2-S,8.15,1,S,10:41,41.9313,-83.1886,,2.3,17.6,226.4,1.7,64.9,9.19,734,1.81,<0.1,0.16,2.81,12.58,5.08,4.32,24.69,0.272,0.31,0.04,,4,1.24
5/25/2021,T1-3-S,8.06,1,S,11:11,41.8644,-83.2452,,1.5,19.2,254.4,2.3,56.9,9.77,1173.1,1.8,<0.1,0.1,8.06,16.75,5.02,0.55,44.36,0.289,0.66,0.1,,4.36,1.52
5/25/2021,T1-4-S,7.05,1,S,11:33,41.817,-83.2826,,2,20.6,311.9,1.3,71.6,8.74,1213.5,2.19,<0.1,<0.1,3.56,25.98,7.57,4.08,32.03,0.873,0.34,0.05,,3.32,1.08
5/25/2021,T1-5-B,7.05,6,B,11:33,41.817,-83.2826,,2,19.4,300.4,1.4,70.7,9.22,71.9,3.09,<0.1,0.15,4.29,42.02,7.71,4.79,34.29,0.897,0.48,0.08,,4.52,1.32
5/25/2021,T1-6-S,7.01,1,S,11:56,41.7909,-83.3035,,1.8,20.2,280.2,1.8,63.4,9.41,1594.2,1.93,<0.1,0.19,4.95,15,4.33,3.63,26.26,0.351,0.58,0.09,,3.8,1.36
5/25/2021,T1-7-S,6.55,1,S,12:10,41.777,-83.3145,,1,19.8,298.1,3.4,42.8,10.16,1114.4,4.72,<0.1,<0.1,15.11,34.79,8.23,4.94,13.53,0.645,0.95,0.16,,10.84,1.8
5/25/2021,T1-8-B,6.55,6,B,12:10,41.777,-83.3145,,1,18.5,282.8,2.5,53.3,9.64,37.6,2.96,<0.1,0.11,10.76,21.18,7.35,7.9,12.52,0.525,0.77,0.12,,5.36,1.28
5/25/2021,T1-9-S,5.56,1,S,12:33,41.7629,-83.33,,1,19.9,309.7,3.3,44.2,10.28,277.5,6.17,<0.1,0.11,19.79,42.26,9.5,5.33,19.85,1.343,1.01,0.18,,7.12,2.28
5/25/2021,T1-10-S,4.86,1,S,12:49,41.7581,-83.3395,,1,19.9,313.8,3.2,45.2,9.62,1108.6,5.94,<0.1,0.13,13.97,31.36,10.91,8.05,24.52,1.324,0.79,0.14,,7.16,2.08
6/23/2021,T2-1-S,,1,S,9:00,41.9971,-83.1408,,,,,,,,,1.68,<0.1,<0.1,1.73,12.85,7.25,2.91,25.49,0.241,0.29,0.04,0.2,3.32,0.76
6/23/2021,T2-2-S,,1,S,9:25,41.9474,-83.1733,overcast,2,,,,,,,2.09,<0.1,<0.1,4.49,26.63,6.39,5.57,146.39,0.281,0.34,0.06,0.28,3.44,0.96
6/23/2021,T2-3-B,,6,B,9:25,41.9474,-83.1733,overcast,2,,,,,,,2.36,<0.1,0.14,3.42,27.18,21.33,6.84,177.49,0.301,0.34,0.06,0.28,3.58,1.06
6/23/2021,T2-4-S,,1,S,9:53,41.8897,-83.2032,overcast,2.5,,,,,,,1.86,<0.1,0.12,4.03,39.38,20.49,16.82,45.97,0.428,0.33,0.05,0.3,3,1
6/23/2021,T2-5-S,,1,S,10:11,41.8631,-83.2428,overcast,2,,,,,,,1.91,<0.1,<0.1,4.19,21.95,9.67,7.63,32,0.316,0.37,0.07,0.28,3.08,0.88
6/23/2021,T2-6-S,,1,S,10:30,41.8227,-83.2771,overcast,2,,,,,,,2.47,<0.1,0.17,2.59,22.46,13.08,7.5,27.94,0.318,0.29,0.05,0.21,3.28,0.62
6/23/2021,T2-7-B,,7,B,10:30,41.8227,-83.2771,overcast,2,,,,,,,2.23,<0.1,0.12,2.5,21.81,14.19,7.34,27.37,0.311,0.28,0.04,0.22,3.77,1
6/23/2021,T2-8-S,,1,S,10:56,41.7783,-83.3128,overcast,1.5,,,,,,,5.81,<0.1,0.1,3.46,29.14,12.99,6.01,42.13,0.505,0.44,0.08,0.44,6.48,1.58
6/23/2021,T2-9-S,,1,S,11:00,41.7627,-83.3295,overcast,1.5,,,,,,,5.14,<0.1,0.18,2.4,33.22,23.08,11.65,76.44,0.84,0.33,0.06,0.65,4.12,1.22
