date,sample_id,station_depth_m,sample_depth_m,sample_depth_category,time,lat,lon,sky,secchi_depth,ctd_temp,ctd_specific_conductivity,ctd_beam_attenuation,ctd_transmission,ctd_dissolved_oxygen,ctd_par,turbidity,particulate_microcystin,dissolved_microcystin,extracted_chla,total_p,total_dissolved_p,soluble_reactive_p,ammonia,nitrate_nitrite,particulate_organic_c,particulate_organic_n,cdom,tss,vss
6/7/2022,T7-1-S,5.85,1,S,9:10,41.9978,-83.1419,overcast,1.5,18,223.9,2.6,52.5,9.09,507.7,2.69,<0.1,<0.1,3.6,12.3,9.57,3.4,20.35,0.274,1.21,0.08,0.27,7.36,1.87
6/7/2022,T7-2-S,5.84,1,S,9:39,41.9627,-83.1659,overcast,1.2,18,234.3,3,47.8,8.72,418.1,2.15,<0.1,<0.1,6.45,16.33,4.12,0.83,54.53,0.3,0.81,0.11,0.25,7.04,1.54
6/7/2022,T7-3-S,7.94,1,S,10:00,41.9338,-83.1919,overcast,1.5,18.6,243.3,2.6,52.8,8.89,553.8,2.33,<0.1,<0.1,4.5,16.32,6.66,2.06,35.54,0.295,0.64,0.1,0.33,4.52,0.94
6/7/2022,T7-4-S,8.18,1,S,10:27,41.9048,-83.2129,mostly overcast,1.8,19.2,268.2,1.9,62.9,8.3,412.4,2.06,<0.1,<0.1,6.6,17.36,4.3,0.48,65.26,0.322,0.53,0.09,0.39,2.68,1
6/7/2022,T7-5-S,7.86,1,S,10:48,41.8646,-83.2443,mostly overcast,1.8,19.9,299.9,2.1,59.4,8.81,132.6,3.16,<0.1,<0.1,17.39,20.28,8.88,0.94,27.92,0.562,0.91,0.12,0.73,4.5,1.24
6/7/2022,T7-6-B,7.86,7,B,10:48,41.8646,-83.2443,mostly overcast,1.8,19.9,297.9,1.8,64.4,8.26,1.3,3.02,<0.1,<0.1,10.26,22.52,7.77,0.98,27.26,0.558,0.9,0.12,0.74,4.82,1.18
6/7/2022,T7-7-S,7.32,1,S,11:27,41.816,-83.2766,overcast,0.6,20.4,295.3,5.6,24.9,6.89,691.9,10.5,<0.1,<0.1,29.77,35.34,14.61,6.1,27.79,0.616,0.72,0.11,0.79,12.14,1.02
6/7/2022,T7-8-S,6.71,1,S,11:56,41.7882,-83.3022,overcast,0.6,20.4,288.5,5.2,27.5,7.93,179.3,9.68,<0.1,0.17,12.8,31.84,12.19,3.09,14.54,0.592,0.73,0.13,0.77,11.58,1.8
6/7/2022,T7-9-S,5.26,1,S,12:11,41.7632,-83.33,overcast,0.6,20.5,282.8,5.2,27.1,7.59,400.3,9.69,<0.1,<0.1,11.15,49.44,10.1,3.82,18.79,0.536,0.65,0.11,0.7,10.96,1.6
6/7/2022,T7-10-B,5.26,5,B,12:11,41.7632,-83.33,overcast,0.6,20.4,282.7,5.3,26.7,7.56,2,11.8,<0.1,0.15,15.4,51.45,10.82,3.34,17.92,0.558,0.86,0.12,0.68,17,2.22
6/22/2022,T8-1-S,5.96,1,S,9:03,41.9965,-83.1434,clear,4,21.6,231.3,1.1,75.6,9.58,213.4,1.4,<0.1,<0.1,2.41,13.27,7.18,1.52,38.99,0.28,0.37,0.04,0.28,1.9,0.44
6/22/2022,T8-2-S,5.11,1,S,9:35,41.9586,-83.1658,clear,3.5,22,249.9,1.2,73.3,7.94,282.3,1.76,<0.1,<0.1,5.7,16.82,6.12,1.64,39.98,0.304,0.4,0.07,0.33,2.5,0.66
6/22/2022,T8-3-S,8.23,1,S,10:05,41.9261,-83.1923,clear,4.8,22,260.3,1,78.7,8.06,1316.3,1.41,<0.1,<0.1,4.54,13.71,8.67,1.6,52.27,0.364,0.7,0.06,0.39,2.3,0.88
6/22/2022,T8-4-B,8.23,7,B,10:05,41.9261,-83.1923,clear,4.8,20.7,250.9,0.5,87.3,7.71,860,0.85,<0.1,<0.1,2.35,12.22,6.72,1.55,56.78,0.311,0.24,0.04,0.26,1.3,0.18
6/22/2022,T8-5-S,8.11,1,S,10:45,41.8926,-83.217,clear,3.5,23.6,332.1,1.1,76.4,7.52,816.8,2.71,<0.1,<0.1,6.75,37.09,23.98,8.84,55.25,1.15,0.49,0.08,2,2.56,0.74
6/22/2022,T8-6-S,8,1,S,11:12,41.8612,-83.2461,clear,3.3,23.9,322,1.1,75.4,7.46,802.6,1.92,<0.1,<0.1,11.28,31.5,10.16,4.77,33.3,0.714,0.57,0.11,1.06,2.78,1.32
6/22/2022,T8-7-S,7.53,1,S,11:36,41.8281,-83.2724,clear,3.3,23.7,297.1,1.2,74.3,7.92,804.8,2.31,<0.1,<0.1,10.24,25.78,11.39,1.64,7.1,0.67,0.81,0.12,0.8,2.9,1.5
6/22/2022,T8-8-S,6.97,1,S,12:05,41.7968,-83.2996,clear,2.5,23.7,303.3,1.3,72.9,7.65,1547.9,2.49,0.15,<0.1,9.64,36.64,11.22,2.18,19.12,0.649,0.49,0.09,0.79,3.38,1.56
6/22/2022,T8-9-S,5.51,1,S,12:29,41.7633,-83.3295,clear,2.3,24.1,316.2,1.3,71.4,7.38,1730.8,3.74,0.1,<0.1,15.47,43.53,15.09,7.31,34.41,1.102,0.94,0.15,1.13,4.12,1.86
