,station_name,timestamp,lat,lon,particulate_microcystin,dissolved_microcystin,extracted_phycocyanin,extracted_chla,turbidity,tss,vss,cdom,date
0,WE2,2012-05-15 10:40:00,41.0127,-83.0055,0.01,,0.28,3.67,,3.47,1.11,,5/15/2012
1,WE4,2012-05-15 10:08:00,41.8267,-83.1933,0.01,,0.17,3.05,,3.15,1.01,,5/15/2012
2,WE6,2012-05-15 11:02:00,41.7052,-83.3853,0.01,,0.45,2.24,,2.9,0.98,,5/15/2012
3,WE8,2012-05-15 11:31:00,41.8339,-83.364,0.01,,0.52,5.73,,4.32,1.06,,5/15/2012
4,WE2,2012-05-31 11:15:00,41.7625,-83.3286,0.01,,0.61,6.07,,21.42,2.4,,5/31/2012
5,WE4,2012-05-31 11:50:00,41.8265,-83.1934,0.01,,0.31,4.86,,4.92,1.52,,5/31/2012
6,WE6,2012-05-31 12:15:00,41.7041,-83.386,0.01,,0.8,11.81,,30.1,4.02,,5/31/2012
7,WE8,2012-05-31 12:53:00,41.835,-83.3636,0.01,,0.31,3.61,,14.3,1.78,,5/31/2012
8,WE2,2012-06-11 10:37:00,41.7627,-83.3291,0.01,,3.87,23.59,,9.73,2.09,,6/11/2012
9,WE4,2012-06-11 11:59:00,41.8272,-83.1931,0.01,,0.31,5.3,,2.51,1.27,,6/11/2012
10,WE2,2012-06-22 10:08:00,41.7633,-83.3301,0.01,,0.29,5.02,,6.39,1.31,,6/22/2012
11,WE4,2012-06-22 11:55:00,41.8271,-83.1932,0.01,,0.65,17.57,,3.76,2.04,,6/22/2012
12,WE6,2012-06-22 10:43:00,41.7069,-83.3846,0.01,,0.37,2.43,,2.83,0.6,,6/22/2012
13,WE8,2012-06-22 09:45:00,41.8379,-83.3647,0.01,,0.16,2.21,,2.0,0.35,,6/22/2012
14,WE2,2012-07-12 10:05:00,41.7626,-83.3295,0.4,,3.23,25.41,,11.6,4.17,,7/12/2012
15,WE4,2012-07-12 11:05:00,41.8271,-83.1936,0.01,,0.95,4.2,,3.1,1.74,,7/12/2012
16,WE6,2012-07-12 11:50:00,41.7051,-83.4696,0.45,,2.57,29.05,,18.9,4.4,,7/12/2012
17,WE8,2012-07-12 12:25:00,41.8333,-83.364,0.29,,2.06,14.95,,7.28,1.8,,7/12/2012
18,WE2,2012-07-23 10:58:00,41.7579,-83.3302,0.37,,2.81,16.52,,16.33,2.83,,7/23/2012
19,WE4,2012-07-23 12:19:00,41.8262,-83.1951,0.48,,4.68,18.75,,8.96,2.58,,7/23/2012
